"data_year","state_name","total_agencies","participation_agencies","participating_agencies_pct","nibrs_participating_agencies","nibrs_participating_agencies","covered_agencies","covered_pct","total_population","nibrs_population"
1980,"Kentucky",725,468,0.65,0,0,1,0.00,3653024,0
1980,"Louisiana",315,158,0.50,0,0,0,0,4214030,0
1980,"Massachusetts",512,331,0.65,0,0,0,0,5733250,0
1980,"Maryland",225,166,0.74,0,0,0,0,4266122,0
1980,"Maine",244,130,0.53,0,0,0,0,1131572,0
1980,"Michigan",867,647,0.75,0,0,0,0,9380358,0
1980,"Minnesota",498,279,0.56,0,0,0,0,4072762,0
1980,"Missouri",731,229,0.31,0,0,0,0,4979528,0
1980,"Mississippi",278,154,0.55,0,0,0,0,2511491,0
1980,"Montana",149,84,0.56,0,0,0,0,794764,0
1980,"Nebraska",340,184,0.54,0,0,0,0,1592114,0
1980,"North Carolina",831,425,0.51,0,0,0,0,5848092,0
1980,"North Dakota",146,78,0.53,0,0,0,0,657335,0
1980,"New Hampshire",264,124,0.47,0,0,0,0,1041881,0
1980,"New Jersey",657,512,0.78,0,0,0,0,7343265,0
1980,"New Mexico",163,98,0.60,0,0,0,0,1297693,0
1980,"Nevada",80,33,0.41,0,0,0,0,800312,0
1980,"New York",1178,805,0.68,0,0,2,0.00,18694648,0
1980,"Ohio",935,466,0.50,0,0,1,0.00,11009711,0
1980,"Oklahoma",506,291,0.58,0,0,0,0,3023007,0
1980,"Oregon",305,247,0.81,0,0,0,0,2616164,0
1980,"Pennsylvania",1892,1161,0.61,0,0,12,0.01,12040750,0
1980,"Puerto Rico",25,1,0.04,0,0,0,0,3045000,0
1980,"Rhode Island",63,43,0.68,0,0,0,0,950345,0
1980,"South Carolina",576,217,0.38,0,0,0,0,3122787,0
1980,"South Dakota",194,75,0.39,0,0,0,0,697288,0
1980,"Tennessee",606,267,0.44,0,0,0,0,4557215,0
1980,"Texas",1295,735,0.57,0,0,0,0,14302893,0
1980,"Utah",203,118,0.58,0,0,1,0.01,1486332,0
1980,"US Virgin Islands",3,0,0,0,0,0,0,0,0
1980,"Virginia",485,385,0.79,0,0,0,0,5336555,0
1980,"Vermont",105,10,0.10,0,0,0,0,515056,0
1980,"Washington",329,182,0.55,0,0,0,0,4126721,0
1980,"Wisconsin",492,269,0.55,0,0,1,0.00,4707957,0
1980,"West Virginia",535,350,0.65,0,0,0,0,1931353,0
1980,"Wyoming",90,68,0.76,0,0,0,0,468954,0
