year,state,incidents,CM_Other,CM_Physical_Abuse,CM_Neglect,CM_Sexual_Abuse,IPV_Other,IPV_Physical_Abuse,IPV_Neglect_or_Emotional_Abuse,IPV_Sexual_Abuse,total_population,nibrs_population,pct_population_covered,incidents_normalized,CM_normalized,IPV_normalized
2003,SC,8173,0,904,0,160,103,6727,0,279,4168818,4144591,0.9941885205830525,0.001971967800924144,0.00025672014440025564,0.0017152476565238887
2004,SC,7897,0,867,0,168,149,6484,0,229,4218953,4196056,0.9945728241106265,0.0018820053879166532,0.0002466601970993714,0.0016353451908172818
2005,SC,7663,0,859,0,177,143,6226,0,258,4283275,4254373,0.9932523594679304,0.0018012054890344594,0.00024351414415238156,0.001557691344882078
2006,SC,7670,0,871,0,161,107,6283,0,248,4365166,4318330,0.98927051113291,0.001776149576340854,0.00023898127285316314,0.001537168303487691
2007,SC,7778,0,932,0,155,84,6351,0,256,4432638,4407709,0.9943760352187568,0.0017646355510311594,0.0002466133766997776,0.0015180221743313817
2008,SC,7014,0,936,0,171,74,5604,0,229,4511886,4478308,0.9925578793435827,0.0015662165264202462,0.000247191573245967,0.0013190249531742791
2009,SC,7138,0,960,0,193,75,5649,0,261,4605766,4555488,0.98908368336559,0.001566901284780028,0.0002531013142829045,0.0013137999704971235
2010,SC,6766,0,868,0,186,58,5453,0,201,4656886,4614149,0.9908228374067993,0.0014663592354733235,0.000228427820601372,0.0012379314148719515
2011,SC,6714,0,901,0,191,59,5328,0,235,4712996,4670512,0.9909857763511788,0.0014375297611910643,0.00023380734274957435,0.00120372241844149
2012,SC,6237,0,822,0,188,59,4926,0,242,4764331,4716691,0.9900006947460199,0.0013223253335866182,0.0002141331709030759,0.0011081921626835422
2013,SC,5499,0,869,0,168,61,4154,0,247,4841102,4763786,0.9840292561487033,0.001154333968822277,0.00021768400175826538,0.0009366499670640117
2014,SC,5505,0,928,0,203,51,4100,0,223,4953448,4817671,0.9725893963154554,0.0011426683142124069,0.00023476073812429284,0.000907907576088114
2015,SC,5494,0,897,0,212,42,4067,0,276,4996301,4829048,0.9665246349249175,0.0011376983620788198,0.00022965188997914289,0.0009080464720996768
2016,SC,5681,0,907,0,261,41,4204,0,268,4995641,4942318,0.9893260944891756,0.0011494606377007712,0.00023632635536604483,0.0009131342823347264
2017,SC,5954,0,904,0,272,31,4465,0,282,5067266,5019569,0.9905872318524427,0.0011861576163212418,0.0002342830629482332,0.0009518745533730087
2018,SC,6081,0,907,0,284,27,4566,0,297,5107178,4908027,0.9610056669260402,0.0012389907390485016,0.00024266370172780223,0.0009963270373206992
2019,SC,6557,0,948,0,228,38,5026,0,317,5260823,5100816,0.9695851770721045,0.0012854805976141857,0.00023055134707858507,0.0010549292505356005
2020,SC,6528,0,768,0,149,46,5322,0,243,5366615,5139301,0.957642946251967,0.0012702116494052401,0.00017842893420720056,0.0010917827151980396
2000,TN,7123,0,693,0,144,137,5931,0,218,6975748,5684989,0.814964789439068,0.0012529487743951659,0.0001472298363286191,0.0011057189380665469
2001,TN,8708,0,844,0,159,155,7313,0,237,5776399,5735728,0.9929591082610464,0.00151820309470742,0.00017486882223145868,0.0013433342724759611
2002,TN,8614,0,904,0,202,166,7070,0,272,5845384,5796512,0.9916392148060761,0.0014860661032013735,0.00019080440099149282,0.0012952617022098808
2003,TN,8487,0,914,0,189,194,6926,0,264,5860993,5841748,0.996716426721547,0.0014528185741664995,0.0001888133483334098,0.0012640052258330898
2004,TN,8710,0,1032,0,206,190,7030,0,252,5930723,5900962,0.9949818934386246,0.0014760305184137773,0.00020979630100990314,0.0012662342174038742
2005,TN,9153,0,1105,0,201,219,7340,0,288,5982851,5962959,0.9966751637304689,0.0015349761754189489,0.00021901877909943703,0.001315957396319512
2006,TN,8946,0,1095,0,194,226,7155,0,276,6066037,6036872,0.9951920833981065,0.0014818932718798743,0.0002135211745420476,0.0012683720973378266
2007,TN,9151,0,1116,0,164,229,7338,0,304,6187477,6156719,0.9950289916229184,0.0014863436190607367,0.00020790294310979598,0.0012784406759509407
2008,TN,8772,0,1106,0,223,210,6948,0,285,6234944,6214888,0.9967832910768726,0.0014114494098686895,0.00021384134356081718,0.0011976080663078723
2009,TN,8570,0,1251,0,161,234,6674,0,250,6312836,6296254,0.9973732883287322,0.0013611267906282053,0.00022426033003115822,0.001136866460597047
2010,TN,8550,0,1185,0,196,250,6613,0,306,6358616,6346105,0.9980324334729445,0.0013472830972699002,0.00021761379617891605,0.0011296693010909842
2011,TN,8790,0,1281,0,218,206,6756,0,329,6426736,6403353,0.9963616056424287,0.0013727183242904148,0.00023409610558718222,0.0011386222187032325
