year,state,incidents,CM_Other,CM_Physical_Abuse,CM_Neglect,CM_Sexual_Abuse,IPV_Other,IPV_Physical_Abuse,IPV_Neglect_or_Emotional_Abuse,IPV_Sexual_Abuse,total_population,nibrs_population,pct_population_covered,incidents_normalized,CM_normalized,IPV_normalized
2014,CT,867,0,139,0,46,23,608,0,51,3772833,2702918,0.7164160194739603,0.00032076444790407995,6.844454770732963e-05,0.00025231990019675035
2015,CT,876,0,106,0,40,28,642,0,60,3703110,2773016,0.748834358147611,0.000315901531040571,5.2650255173428495e-05,0.0002632512758671425
2016,CT,1054,0,145,0,41,15,794,0,59,3807343,2900457,0.7618060679061487,0.0003633910104511117,6.412782537372559e-05,0.00029926318507738606
2017,CT,948,0,108,0,28,22,735,0,55,3645220,2916039,0.7999624165345302,0.000325098532632794,4.66386080570253e-05,0.0002784599245757687
2018,CT,1126,0,118,0,45,26,848,0,89,3776823,2923958,0.7741845461119041,0.00038509445074108454,5.574635476980176e-05,0.00032934809597128277
2019,CT,1028,0,123,0,42,19,755,0,89,3679668,2982031,0.8104076237312714,0.0003447314934016447,5.533141674248189e-05,0.00028940007665916284
2020,CT,991,0,122,0,33,14,750,0,72,3613442,3488526,0.9654301909370622,0.00028407413331590475,4.443137302115564e-05,0.00023964276029474912
2000,DC,1,0,0,0,0,0,1,0,0,572059,0,0.0,inf,,inf
2001,DC,4,0,0,0,0,0,4,0,0,571822,0,0.0,inf,,inf
2002,DC,3,0,1,0,0,0,2,0,0,570898,0,0.0,inf,inf,inf
2003,DC,1,0,0,0,0,0,1,0,0,563384,0,0.0,inf,,inf
2004,DC,4,0,0,0,0,0,4,0,0,553523,0,0.0,inf,,inf
2005,DC,7,0,1,0,0,0,6,0,0,550521,0,0.0,inf,inf,inf
2006,DC,2,0,0,0,0,0,2,0,0,581530,0,0.0,inf,,inf
2007,DC,2,0,0,0,0,0,2,0,0,588292,0,0.0,inf,,inf
2009,DC,4,0,0,0,0,0,4,0,0,599657,0,0.0,inf,,inf
2010,DC,6,0,0,0,0,0,6,0,0,601723,0,0.0,inf,,inf
2011,DC,2,0,0,0,0,0,2,0,0,617996,0,0.0,inf,,inf
2012,DC,5,0,0,0,0,0,5,0,0,632323,0,0.0,inf,,inf
2013,DC,1,0,1,0,0,0,0,0,0,646449,0,0.0,inf,inf,
2014,DC,6,0,3,0,0,0,3,0,0,658893,0,0.0,inf,inf,inf
2015,DC,2,0,0,0,0,0,2,0,0,672228,0,0.0,inf,,inf
