year,state,incidents,CM_Other,CM_Physical_Abuse,CM_Neglect,CM_Sexual_Abuse,IPV_Other,IPV_Physical_Abuse,IPV_Neglect_or_Emotional_Abuse,IPV_Sexual_Abuse,total_population,nibrs_population,pct_population_covered,incidents_normalized,CM_normalized,IPV_normalized
2009,ID,1340,0,237,0,61,116,811,0,115,1606258,1543741,0.961079104353099,0.0008680212548607571,0.00019303756264813852,0.0006749836922126186
2010,ID,1172,0,146,0,31,95,792,0,108,1641370,1564555,0.953200679919823,0.000749094790531493,0.00011313120983282787,0.0006359635806986651
2011,ID,1037,0,110,0,34,39,753,0,101,1647369,1584985,0.9621311315194107,0.0006542648668599388,9.085259481950934e-05,0.0005634122720404294
2012,ID,1076,0,121,0,29,68,770,0,88,1658218,1595728,0.9623149670308729,0.0006743003820199934,9.400098262360502e-05,0.0005802993993963884
2013,ID,1155,0,134,0,35,42,844,0,100,1673884,1611676,0.9628361344035787,0.0007166452810614541,0.00010485978571375389,0.0006117854953477001
2014,ID,1102,0,119,0,31,35,794,0,123,1691496,1634011,0.9660152906066583,0.0006744140645320013,9.179864762232323e-05,0.0005826154169096781
2015,ID,1182,0,136,0,42,45,845,0,114,1719351,1654475,0.9622671577822097,0.0007144260263829916,0.00010758699889693105,0.0006068390274860605
2016,ID,1224,0,158,0,47,49,851,0,119,1741411,1680830,0.9652115439721007,0.000728211657335959,0.00012196355372048334,0.0006062481036154757
2017,ID,1223,0,179,0,29,27,882,0,106,1785558,1717917,0.9621177245432521,0.000711908666134627,0.00012107686226983026,0.0005908318038647968
2018,ID,1331,0,173,0,62,41,897,0,158,1819181,1752918,0.9635753671569789,0.0007593053411511548,0.00013406217518446384,0.000625243165966691
2019,ID,1412,0,154,0,44,28,1035,0,151,1871068,1785551,0.9542950870839542,0.0007907923100488309,0.00011089013979438279,0.000679902170254448
2020,ID,1486,0,204,0,44,17,1070,0,151,1997945,1819575,0.9107232681580324,0.0008166742233763379,0.0001362955635244494,0.0006803786598518884
2010,KY,848,0,197,0,182,14,282,0,173,4748332,4227221,0.8902538828371731,0.00020060460524775023,8.96570110718129e-05,0.00011094759417593734
2011,KY,974,0,179,0,234,12,356,0,193,4421541,4294255,0.9712122990604407,0.00022681466284605827,9.617500590905757e-05,0.00013063965693700072
2012,KY,1061,0,254,0,174,13,414,0,206,4454279,4319331,0.9697037388093561,0.00024563989191844754,9.908941917162635e-05,0.00014655047274682122
2013,KY,1070,0,266,0,173,32,421,0,178,4432530,4353991,0.9822812253949775,0.00024575154151673716,0.00010082703432322207,0.0001449245071935151
2014,KY,1249,0,271,0,186,27,608,0,157,4491063,4387495,0.9769390899214729,0.00028467268908568557,0.00010415966286001466,0.00018051302622567092
2015,KY,1916,0,385,0,205,32,1097,0,197,4505815,4424795,0.9820187912730549,0.0004330144108371122,0.00013333951064399592,0.0002996749001931163
2016,KY,1964,0,374,0,186,24,1147,0,233,4480598,4436974,0.9902637996088914,0.0004426440181979881,0.0001262121436817074,0.0003164318745162807
2017,KY,1961,0,323,0,277,23,1110,0,228,4494059,4454535,0.991205277901336,0.0004402255229782682,0.00013469419367004637,0.00030553132930822186
2018,KY,1957,0,471,0,191,18,1037,0,240,4523434,4459343,0.9858313396415201,0.00043885388497812345,0.00014845236170440355,0.0002904015232737199
2019,KY,2146,0,375,0,162,27,1319,0,263,4515484,4460802,0.9878901132193139,0.00048107941128075173,0.00012038194028786752,0.0003606974709928842
2020,KY,2555,0,417,0,126,28,1745,0,239,5279777,4472499,0.8470999816848325,0.000571268993017103,0.00012140863530657022,0.00044986035771053275
2008,MA,4431,0,510,0,188,115,3437,0,181,6621643,5448980,0.8229045268674255,0.0008131797143685608,0.00012809736868184504,0.0006850823456867156
2009,MA,4585,0,515,0,165,86,3613,0,206,6703667,5614606,0.8375424972630652,0.0008166200798417556,0.00012111268359703246,0.0006955073962447232
2010,MA,4901,0,579,0,146,91,3878,0,207,6666219,5585786,0.8379241666077877,0.000877405614894663,0.0001297937300140034,0.0007476118848806595
2011,MA,4405,0,523,0,161,101,3411,0,209,6679812,5601274,0.8385376714194951,0.000786428230434719,0.00012211507596307554,0.0006643131544716434
2012,MA,4071,0,454,0,145,96,3196,0,180,6774799,5738623,0.8470543554133488,0.0007094036321953891,0.00010438044109187867,0.0006050231911035104
2013,MA,4225,0,485,0,160,78,3313,0,189,6763362,5824885,0.8612410514179191,0.0007253362083543281,0.00011073179985527611,0.0006146044084990519
2014,MA,4532,0,554,0,135,81,3582,0,180,6882177,5859977,0.8514714166752758,0.000773381875048315,0.00011757725328956069,0.0006558046217587544
2015,MA,4987,0,524,0,129,77,4056,0,201,6878270,5893830,0.8568768018702377,0.0008461390980058807,0.00011079383015797877,0.0007353452678479019
2016,MA,4717,0,540,0,139,74,3754,0,210,6841558,5911759,0.8640954297252176,0.0007979012676260991,0.00011485583224891271,0.0006830454353771864
2017,MA,4617,0,577,0,206,82,3556,0,196,6872032,5963301,0.8677638579098584,0.0007742356121215415,0.0001313031155059924,0.000642932496615549
2018,MA,4590,0,551,0,158,70,3523,0,288,6913325,6021072,0.870937211833669,0.000762322722598235,0.0001177531177172437,0.0006445696048809913
2019,MA,4627,0,549,0,190,72,3523,0,293,6915116,6011009,0.8692564231749692,0.0007697542958262082,0.0001229410902562282,0.00064681320556998
2020,MA,5012,0,570,0,160,58,3931,0,293,7024800,6815611,0.9702213586151919,0.0007353706072720407,0.00010710705173754782,0.0006282635555344928
2003,MI,5022,0,558,0,617,48,3158,0,641,10745970,8622143,0.8023606058829497,0.0005824538052778758,0.00013627702532885387,0.00044617677994902193
2004,MI,5416,0,608,0,654,53,3384,0,717,10854430,9002773,0.8294100196878141,0.0006015924204686711,0.0001401790315050707,0.00046141338896360046
2005,MI,8058,0,894,0,670,51,5688,0,755,10680554,10017482,0.9379178271089683,0.000804393758830812,0.00015612705867602258,0.0006482667001547894
2006,MI,8145,0,935,0,685,47,5687,0,791,10551168,9997772,0.9475512094964273,0.0008146815110406598,0.00016203610164344616,0.0006526454093972137
2007,MI,7792,0,924,0,624,23,5482,0,739,10620046,9965028,0.9383224893752814,0.0007819345816188374,0.00015534326647150416,0.0006265913151473333
