,Average Tax Rate on Total Wages (%),Average Tax Rate on Total Wages (%),Average Tax Rate on Total Wages (%),Average Tax Rate on Total Wages (%),Average Tax Rate on Total Wages (%),Average Tax Rate on Total Wages (%),Average Tax Rate on Total Wages (%),Average Tax Rate on Total Wages (%),Average Tax Rate on Total Wages (%),Average Tax Rate on Total Wages (%),Average Tax Rate on Total Wages (%),Average Tax Rate on Total Wages (%),Average Tax Rate on Total Wages (%),Average Tax Rate on Total Wages (%),Average Tax Rate on Total Wages (%),Average Tax Rate on Total Wages (%),Average Tax Rate on Total Wages (%),Average Tax Rate on Total Wages (%),Average Tax Rate on Total Wages (%),Average Tax Rate on Total Wages (%),Average Tax Rate on Total Wages (%)
Date,2000-01-01 00:00:00,2001-01-01 00:00:00,2002-01-01 00:00:00,2003-01-01 00:00:00,2004-01-01 00:00:00,2005-01-01 00:00:00,2006-01-01 00:00:00,2007-01-01 00:00:00,2008-01-01 00:00:00,2009-01-01 00:00:00,2010-01-01 00:00:00,2011-01-01 00:00:00,2012-01-01 00:00:00,2013-01-01 00:00:00,2014-01-01 00:00:00,2015-01-01 00:00:00,2016-01-01 00:00:00,2017-01-01 00:00:00,2018-01-01 00:00:00,2019-01-01 00:00:00,2020-01-01 00:00:00
Pennsylvania,0.96,0.92,0.91,0.97,1.01,1.22,1.19,1.06,1.0,0.9,1.1,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.1,1.0,0.7
Puerto Rico,1.41,1.37,1.31,1.26,1.21,1.21,1.11,1.06,1.0,1.0,1.0,1.1,1.2,1.1,1.0,1.0,1.0,0.9,0.9,0.8,0.7
Rhode Island,1.24,1.14,1.09,1.1,1.26,1.39,1.37,1.22,1.2,1.4,1.5,1.6,1.6,1.6,1.5,1.5,1.4,1.2,1.1,1.1,0.9
South Carolina,0.41,0.39,0.44,0.53,0.58,0.56,0.55,0.52,0.5,0.5,0.5,1.0,0.9,0.8,0.8,0.7,0.5,0.5,0.5,0.4,0.3
South Dakota,0.2,0.19,0.19,0.2,0.21,0.22,0.22,0.28,0.3,0.3,0.7,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.2,0.2,0.2
Tennessee,0.42,0.4,0.49,0.63,0.65,0.55,0.43,0.4,0.4,0.8,0.8,0.8,0.8,0.6,0.3,0.3,0.2,0.2,0.2,0.2,0.2
Texas,0.37,0.33,0.37,0.61,0.62,0.64,0.55,0.45,0.3,0.3,0.6,0.7,0.7,0.6,0.5,0.5,0.5,0.5,0.4,0.4,0.3
Utah,0.24,0.27,0.29,0.37,0.61,0.79,0.75,0.52,0.3,0.3,0.4,0.9,0.9,0.9,0.7,0.5,0.4,0.3,0.3,0.2,0.2
Vermont,0.75,0.61,0.58,0.57,0.58,0.66,0.67,0.74,0.7,0.8,1.0,1.4,1.6,1.6,1.5,1.5,1.5,1.4,1.2,1.0,0.9
Virgin Islands,1.48,1.5,0.16,0.11,0.11,0.18,0.16,0.11,0.1,0.1,0.1,0.2,0.3,0.9,0.9,0.9,0.9,0.9,0.9,1.3,1.3
Virginia,0.15,0.15,0.15,0.24,0.42,0.45,0.4,0.29,0.2,0.2,0.4,0.5,0.5,0.5,0.5,0.4,0.3,0.3,0.2,0.2,0.2
Washington,1.13,1.17,1.21,1.4,1.7,1.66,1.38,1.12,1.0,0.8,1.3,1.3,1.0,1.1,1.0,0.8,0.7,0.6,0.6,0.5,0.5
West Virginia,0.97,0.94,0.88,0.86,0.87,0.85,0.82,0.77,0.7,0.9,1.0,1.1,1.1,1.0,1.0,1.0,0.9,0.9,0.9,0.8,0.8
Wisconsin,0.65,0.63,0.63,0.72,0.83,0.91,0.86,0.79,0.7,0.8,1.1,1.4,1.4,1.3,1.2,1.1,0.8,0.6,0.5,0.5,0.4
Wyoming,0.65,0.58,0.39,0.39,0.55,0.65,0.77,0.66,0.6,0.6,1.2,1.5,1.6,1.5,1.2,0.7,0.7,0.8,0.8,0.7,0.5
