,State,date,weekly_benefit_amounts
362,Pennsylvania,2020-07-01,334.6
363,Puerto Rico,2020-07-01,170.75
364,Rhode Island,2020-07-01,310.88
365,South Carolina,2020-07-01,230.64
366,South Dakota,2020-07-01,284.78
367,Tennessee,2020-07-01,210.44
368,Texas,2020-07-01,353.57
369,Utah,2020-07-01,350.48
370,Vermont,2020-07-01,330.07
371,Virgin Islands,2020-07-01,356.95
372,Virginia,2020-07-01,257.49
373,Washington,2020-07-01,417.35
374,West Virginia,2020-07-01,236.25
375,Wisconsin,2020-07-01,285.81
376,Wyoming,2020-07-01,410.27
377,US,2020-07-01,306.03
378,Alabama,2020-08-01,250.77
379,Alaska,2020-08-01,443.23
380,Arizona,2020-08-01,237.99
381,Arkansas,2020-08-01,223.84
382,California,2020-08-01,282.35
383,Colorado,2020-08-01,371.47
384,Connecticut,2020-08-01,289.09
385,Delaware,2020-08-01,238.98
386,District of Columbia,2020-08-01,348.75
387,Florida,2020-08-01,232.04
388,Georgia,2020-08-01,256.8
389,Hawaii,2020-08-01,449.2
390,Idaho,2020-08-01,306.11
391,Illinois,2020-08-01,313.12
392,Indiana,2020-08-01,
393,Iowa,2020-08-01,343.48
394,Kansas,2020-08-01,341.68
395,Kentucky,2020-08-01,319.88
396,Louisiana,2020-08-01,180.86
397,Maine,2020-08-01,294.53
398,Maryland,2020-08-01,305.52
399,Massachusetts,2020-08-01,396.96
400,Michigan,2020-08-01,297.61
401,Minnesota,2020-08-01,372.82
402,Mississippi,2020-08-01,184.37
403,Missouri,2020-08-01,238.5
404,Montana,2020-08-01,345.61
405,Nebraska,2020-08-01,290.86
406,Nevada,2020-08-01,333.17
407,New Hampshire,2020-08-01,260.53
408,New Jersey,2020-08-01,395.1
409,New Mexico,2020-08-01,315.11
410,New York,2020-08-01,333.83
411,North Carolina,2020-08-01,210.98
412,North Dakota,2020-08-01,463.06
413,Ohio,2020-08-01,320.75
414,Oklahoma,2020-08-01,336.19
415,Oregon,2020-08-01,362.93
416,Pennsylvania,2020-08-01,329.27
417,Puerto Rico,2020-08-01,183.18
418,Rhode Island,2020-08-01,311.44
419,South Carolina,2020-08-01,227.42
420,South Dakota,2020-08-01,292.32
421,Tennessee,2020-08-01,206.12
422,Texas,2020-08-01,360.39
423,Utah,2020-08-01,364.35
424,Vermont,2020-08-01,336.46
425,Virgin Islands,2020-08-01,373.69
426,Virginia,2020-08-01,268.11
427,Washington,2020-08-01,402.28
428,West Virginia,2020-08-01,233.05
429,Wisconsin,2020-08-01,285.41
430,Wyoming,2020-08-01,422.19
431,US,2020-08-01,305.39
432,Alabama,2020-09-01,257.61
433,Alaska,2020-09-01,291.86
434,Arizona,2020-09-01,234.06
435,Arkansas,2020-09-01,240.65
436,California,2020-09-01,282.47
437,Colorado,2020-09-01,382.6
438,Connecticut,2020-09-01,297.06
439,Delaware,2020-09-01,240.89
440,District of Columbia,2020-09-01,342.28
441,Florida,2020-09-01,222.91
442,Georgia,2020-09-01,255.24
443,Hawaii,2020-09-01,444.5
444,Idaho,2020-09-01,319.28
445,Illinois,2020-09-01,315.54
446,Indiana,2020-09-01,221.93
447,Iowa,2020-09-01,364.34
448,Kansas,2020-09-01,355.53
449,Kentucky,2020-09-01,281.36
450,Louisiana,2020-09-01,183.45
451,Maine,2020-09-01,296.1
452,Maryland,2020-09-01,309.88
453,Massachusetts,2020-09-01,406.04
454,Michigan,2020-09-01,385.83
455,Minnesota,2020-09-01,377.52
456,Mississippi,2020-09-01,186.93
457,Missouri,2020-09-01,240.08
458,Montana,2020-09-01,372.92
459,Nebraska,2020-09-01,307.73
460,Nevada,2020-09-01,358.52
461,New Hampshire,2020-09-01,272.34
462,New Jersey,2020-09-01,398.6
463,New Mexico,2020-09-01,314.74
464,New York,2020-09-01,333.37
465,North Carolina,2020-09-01,217.64
466,North Dakota,2020-09-01,479.06
467,Ohio,2020-09-01,324.21
468,Oklahoma,2020-09-01,327.19
469,Oregon,2020-09-01,367.43
470,Pennsylvania,2020-09-01,335.91
471,Puerto Rico,2020-09-01,187.02
472,Rhode Island,2020-09-01,320.27
473,South Carolina,2020-09-01,223.41
474,South Dakota,2020-09-01,310.59
475,Tennessee,2020-09-01,211.6
476,Texas,2020-09-01,372.38
477,Utah,2020-09-01,401.12
478,Vermont,2020-09-01,340.34
479,Virgin Islands,2020-09-01,366.84
480,Virginia,2020-09-01,278.28
481,Washington,2020-09-01,415.56
482,West Virginia,2020-09-01,236.06
483,Wisconsin,2020-09-01,288.06
484,Wyoming,2020-09-01,433.65
485,US,2020-09-01,311.59
486,Alabama,2020-10-01,266.61
487,Alaska,2020-10-01,293.54
488,Arizona,2020-10-01,233.35
489,Arkansas,2020-10-01,244.4
490,California,2020-10-01,281.01
491,Colorado,2020-10-01,381.31
492,Connecticut,2020-10-01,311.34
493,Delaware,2020-10-01,243.79
494,District of Columbia,2020-10-01,335.65
495,Florida,2020-10-01,225.06
496,Georgia,2020-10-01,253.72
497,Hawaii,2020-10-01,426.65
498,Idaho,2020-10-01,326.36
499,Illinois,2020-10-01,317.44
500,Indiana,2020-10-01,223.97
501,Iowa,2020-10-01,379.82
502,Kansas,2020-10-01,380.55
503,Kentucky,2020-10-01,286.7
504,Louisiana,2020-10-01,181.38
505,Maine,2020-10-01,297.34
506,Maryland,2020-10-01,310.2
507,Massachusetts,2020-10-01,431.29
508,Michigan,2020-10-01,316.55
509,Minnesota,2020-10-01,399.77
510,Mississippi,2020-10-01,186.64
511,Missouri,2020-10-01,243.59
512,Montana,2020-10-01,410.42
513,Nebraska,2020-10-01,317.55
514,Nevada,2020-10-01,378.83
515,New Hampshire,2020-10-01,274.72
516,New Jersey,2020-10-01,407.96
517,New Mexico,2020-10-01,321.75
518,New York,2020-10-01,332.12
519,North Carolina,2020-10-01,225.08
520,North Dakota,2020-10-01,486.88
521,Ohio,2020-10-01,336.42
522,Oklahoma,2020-10-01,334.3
523,Oregon,2020-10-01,375.21
524,Pennsylvania,2020-10-01,345.65
525,Puerto Rico,2020-10-01,588.86
526,Rhode Island,2020-10-01,345.81
527,South Carolina,2020-10-01,223.66
528,South Dakota,2020-10-01,316.48
529,Tennessee,2020-10-01,215.9
530,Texas,2020-10-01,384.22
531,Utah,2020-10-01,412.27
532,Vermont,2020-10-01,351.09
533,Virgin Islands,2020-10-01,384.27
534,Virginia,2020-10-01,283.2
535,Washington,2020-10-01,435.66
536,West Virginia,2020-10-01,251.12
537,Wisconsin,2020-10-01,291.67
